LeMond, Revolution,FW 50,HW 02,30-Mar,18:33:17,Alt 30,Temp 25,Hum 45,Tire 2105,CF 150
TIME,SPEED,DIST,POWER,HEART RATE,CADENCE,CALORIES,TARGET,,,
0:00:01,0,0,0,72,0,0,0,,,
0:00:02,0,0,0,73,0,0,0,,,
0:00:03,0,0,39,73,2,0,0,,,
0:00:04,7.4,0,104,75,2,0,0,,,
0:00:05,10.8,0,101,76,40,0,0,,,
0:00:06,12.3,0,83,77,48,0,0,,,
0:00:07,13.5,0,91,79,53,0,0,,,
0:00:08,14.9,0,98,80,57,0,0,,,
0:00:09,15.9,0,105,82,61,0,0,,,
0:00:10,17.1,0,115,83,63,0,0,,,
0:00:11,18.1,0,101,84,64,1,0,,,
0:00:12,18.5,0,87,85,66,1,0,,,
0:00:13,18.9,0,87,85,67,1,0,,,
0:00:14,19.1,0,85,86,68,1,0,,,
0:00:15,19.4,0,90,85,69,1,0,,,
0:00:16,19.8,0,90,84,69,1,0,,,
0:00:17,19.9,0,83,84,70,1,0,,,
0:00:18,20,0,88,84,64,1,0,,,
0:00:19,20.3,0,108,84,64,1,0,,,
0:00:20,21,0,130,85,66,2,0,,,
0:00:21,21.8,0,137,86,68,2,0,,,
0:00:22,22.6,0,136,87,70,2,0,,,
0:00:23,23.1,0,124,87,70,2,0,,,
0:00:24,23.3,0,110,88,70,2,0,,,
0:00:25,23.3,0.1,102,88,70,2,0,,,
0:00:26,23.3,0.1,102,89,70,2,0,,,
0:00:27,23.3,0.1,106,89,71,3,0,,,
0:00:28,23.4,0.1,107,90,70,3,0,,,
0:00:29,23.4,0.1,111,90,71,3,0,,,
0:00:30,23.7,0.1,109,90,71,3,0,,,
0:00:31,23.6,0.1,104,90,71,3,0,,,
0:00:32,23.7,0.1,109,90,71,3,0,,,
0:00:33,23.7,0.1,100,90,71,3,0,,,
0:00:34,23.6,0.1,99,90,71,3,0,,,
0:00:35,23.6,0.1,99,90,71,3,0,,,
0:00:36,23.4,0.1,98,90,71,4,0,,,
0:00:37,23.4,0.1,98,0,71,4,0,,,
0:00:38,23.3,0.1,97,95,70,4,0,,,
0:00:39,23.3,0.1,102,95,70,4,0,,,
0:00:40,23.3,0.1,102,95,70,4,0,,,
0:00:41,23.3,0.1,102,95,70,4,0,,,
0:00:42,23.3,0.2,97,95,70,4,0,,,
0:00:43,23.2,0.2,96,95,70,4,0,,,
0:00:44,23.2,0.2,100,95,70,5,0,,,
0:00:45,23.2,0.2,100,95,70,5,0,,,
0:00:46,23.2,0.2,96,95,70,5,0,,,
0:00:47,23.2,0.2,96,95,70,5,0,,,
0:00:48,23.1,0.2,99,95,70,5,0,,,
0:00:49,23.2,0.2,105,95,70,5,0,,,
0:00:50,23.2,0.2,100,95,70,5,0,,,
0:00:51,23.2,0.2,100,95,70,5,0,,,
0:00:52,23.2,0.2,96,95,70,5,0,,,
0:00:53,23.1,0.2,95,95,70,6,0,,,
0:00:54,23.1,0.2,99,95,70,6,0,,,
0:00:55,23.1,0.2,99,95,70,6,0,,,
0:00:56,23.1,0.2,104,95,70,6,0,,,
0:00:57,23.2,0.2,100,95,70,6,0,,,
0:00:58,23.1,0.3,99,0,70,6,0,,,
0:00:59,23.2,0.3,105,0,70,6,0,,,
0:01:00,23.2,0.3,100,0,70,6,0,,,
0:01:01,23.2,0.3,96,0,70,6,0,,,
0:01:02,23.1,0.3,95,0,70,7,0,,,
0:01:03,23.1,0.3,104,0,70,7,0,,,
0:01:04,23.2,0.3,100,0,70,7,0,,,
0:01:05,23.1,0.3,99,0,70,7,0,,,
0:01:06,23.2,0.3,105,0,70,7,0,,,
0:01:07,23.2,0.3,100,0,70,7,0,,,
0:01:08,23.2,0.3,100,0,70,7,0,,,
0:01:09,23.2,0.3,105,0,70,7,0,,,
0:01:10,23.3,0.3,106,0,70,8,0,,,
0:01:11,23.3,0.3,97,0,70,8,0,,,
0:01:12,23.2,0.3,100,0,70,8,0,,,
0:01:13,23.3,0.3,106,0,70,8,0,,,
0:01:14,23.3,0.3,102,0,71,8,0,,,
0:01:15,23.3,0.4,106,0,71,8,0,,,
0:01:16,23.4,0.4,103,0,71,8,0,,,
0:01:17,23.3,0.4,97,0,70,8,0,,,
0:01:18,23.3,0.4,102,0,70,8,0,,,
0:01:19,23.3,0.4,102,0,70,9,0,,,
0:01:20,23.3,0.4,97,0,70,9,0,,,
0:01:21,23.2,0.4,96,0,70,9,0,,,
0:01:22,23.2,0.4,100,0,70,9,0,,,
0:01:23,23.2,0.4,100,0,70,9,0,,,
0:01:24,23.2,0.4,100,0,70,9,0,,,
0:01:25,23.2,0.4,105,0,70,9,0,,,
0:01:26,23.3,0.4,102,0,70,9,0,,,
0:01:27,23.2,0.4,100,0,70,10,0,,,
0:01:28,23.3,0.4,106,0,70,10,0,,,
0:01:29,23.3,0.4,102,0,70,10,0,,,
0:01:30,23.3,0.4,102,0,70,10,0,,,
0:01:31,23.3,0.4,102,0,70,10,0,,,
0:01:32,23.3,0.5,97,0,70,10,0,,,
0:01:33,23.2,0.5,100,0,70,10,0,,,
0:01:34,23.3,0.5,110,0,71,10,0,,,
0:01:35,23.4,0.5,115,0,72,10,0,,,
0:01:36,23.7,0.5,117,0,72,11,0,,,
0:01:37,23.8,0.5,106,0,71,11,0,,,
0:01:38,23.7,0.5,96,0,71,11,0,,,
0:01:39,23.6,0.5,104,0,71,11,0,,,
0:01:40,23.7,0.5,109,0,71,11,0,,,
0:01:41,23.7,0.5,105,0,71,11,0,,,
0:01:42,23.7,0.5,105,0,71,11,0,,,
0:01:43,23.7,0.5,113,0,72,11,0,,,
0:01:44,23.9,0.5,115,0,72,12,0,,,
0:01:45,23.9,0.5,107,0,72,12,0,,,
0:01:46,23.9,0.5,107,0,72,12,0,,,
0:01:47,23.9,0.5,107,87,72,12,0,,,
0:01:48,23.9,0.6,103,87,72,12,0,,,
0:01:49,23.8,0.6,93,86,71,12,0,,,
