LeMond, Revolution,FW 50,HW 02,26-Jul,17:19:59,Alt 30,Temp 25,Hum 43,Tire 2105,CF 150
TIME,SPEED,DIST,POWER,HEART RATE,CADENCE,CALORIES,TARGET,,,
0:00:01,17.1,0,282,0,61,1,0,,,
0:00:02,17.6,0,91,0,63,1,0,,,
0:00:03,18.3,0,89,79,64,1,0,,,
0:00:04,18.5,0,77,80,65,1,0,,,
0:00:05,18.6,0,78,81,66,1,0,,,
0:00:06,18.9,0,80,82,66,1,0,,,
0:00:07,19,0,77,84,67,1,0,,,
0:00:08,19.1,0,78,84,68,1,0,,,
0:00:09,19.3,0,79,85,68,2,0,,,
0:00:10,19.4,0,80,86,68,2,0,,,
0:00:11,19.5,0,81,87,68,2,0,,,
0:00:12,19.7,0,78,87,69,2,0,,,
0:00:13,19.7,0,64,87,67,2,0,,,
0:00:14,19.3,0,38,87,67,2,0,,,
0:00:15,18.4,0,23,86,67,2,0,,,
0:00:16,17.6,0,27,86,0,2,0,,,
0:00:17,17,0,31,86,0,2,0,,,
0:00:18,16.5,0,27,86,0,2,0,,,
0:00:19,15.7,0,21,87,0,2,0,,,
0:00:20,15.1,0,27,87,0,2,0,,,
0:00:21,14.7,0,29,88,0,2,0,,,
0:00:22,14.2,0.1,22,88,0,2,0,,,
0:00:23,13.6,0.1,20,89,0,2,0,,,
0:00:24,13.1,0.1,26,89,0,2,0,,,
0:00:25,12.8,0.1,64,89,5,2,0,,,
0:00:26,14.3,0.1,99,90,53,2,0,,,
0:00:27,15.5,0.1,95,90,56,3,0,,,
0:00:28,16.4,0.1,87,90,58,3,0,,,
0:00:29,16.9,0.1,76,90,60,3,0,,,
0:00:30,17.1,0.1,72,90,60,3,0,,,
0:00:31,17.4,0.1,73,89,61,3,0,,,
0:00:32,17.6,0.1,75,88,62,3,0,,,
0:00:33,17.9,0.1,80,87,63,3,0,,,
0:00:34,18.3,0.1,82,86,64,3,0,,,
0:00:35,18.5,0.1,81,86,65,3,0,,,
0:00:36,18.8,0.1,79,85,66,3,0,,,
0:00:37,18.9,0.1,73,85,66,3,0,,,
