LeMond, Revolution,FW 50,HW 02,08/20,16:48:28,Alt 1432,Temp 25,Hum 46,Tire 2097,CF 150
TIME,SPEED,DIST,POWER,HEART RATE,CADENCE,CALORIES,TARGET
0:00:01,017.9,000.0,0060,000,071,0000,180<PWR<133,
0:00:02,018.1,000.0,0064,000,072,0000,180<PWR<133,
0:00:03,018.1,000.0,0064,079,073,0000,180<PWR<133,
0:00:04,018.2,000.0,0078,080,075,0000,180<PWR<133,
0:00:05,018.7,000.0,0091,081,077,0001,180<PWR<133,
0:00:06,019.2,000.0,0095,082,080,0001,180<PWR<133,
0:00:07,019.7,000.0,0102,083,081,0001,180<PWR<133,
0:00:08,020.3,000.0,0103,084,084,0001,180<PWR<133,
0:00:09,020.7,000.0,0102,086,085,0001,180<PWR<133,
0:00:10,021.2,000.0,0110,086,088,0001,180<PWR<133,
0:00:11,021.7,000.0,0110,086,088,0001,180<PWR<133,
0:00:12,022.1,000.0,0105,087,090,0001,180<PWR<133,
0:00:13,022.3,000.0,0103,088,090,0001,180<PWR<133,
0:00:14,022.6,000.0,0100,088,091,0002,180<PWR<133,
0:00:15,022.7,000.0,0097,089,091,0002,180<PWR<133,
0:00:16,022.8,000.0,0102,090,092,0002,180<PWR<133,
0:00:17,023.1,000.0,0100,091,092,0002,180<PWR<133,
0:00:18,023.1,000.0,0092,092,092,0002,180<PWR<133,
0:00:19,023.1,000.1,0092,092,092,0002,180<PWR<133,
0:00:20,023.1,000.1,0092,093,093,0002,180<PWR<133,
0:00:21,023.1,000.1,0096,093,093,0002,180<PWR<133,
0:00:22,023.2,000.1,0101,094,094,0002,180<PWR<133,
0:00:23,023.4,000.1,0106,094,094,0003,180<PWR<133,
0:00:24,023.6,000.1,0108,095,095,0003,180<PWR<133,
0:00:25,023.7,000.1,0105,095,095,0003,180<PWR<133,
0:00:26,023.9,000.1,0102,095,095,0003,180<PWR<133,
0:00:27,023.9,000.1,0102,096,096,0003,180<PWR<133,
0:00:28,024.0,000.1,0107,096,096,0003,180<PWR<133,
0:00:29,024.1,000.1,0103,096,096,0003,180<PWR<133,
0:00:30,024.1,000.1,0103,096,097,0003,180<PWR<133,
0:00:31,024.2,000.1,0104,096,097,0004,180<PWR<133,
0:00:32,024.2,000.1,0100,096,096,0004,180<PWR<133,
0:00:33,024.2,000.1,0100,097,096,0004,180<PWR<133,
0:00:34,024.2,000.1,0100,097,097,0004,180<PWR<133,
0:00:35,024.2,000.1,0104,097,097,0004,180<PWR<133,
0:00:36,024.4,000.2,0105,097,097,0004,180<PWR<133,
0:00:37,024.4,000.2,0101,098,097,0004,180<PWR<133,
0:00:38,024.4,000.2,0101,098,097,0004,180<PWR<133,
