LeMond,FW 1.00,HW 1.00,gforce,120102,16:31
TIME,SPEED,DIST,POWER,HEART RATE,RPM,CALORIES,TORQUE,TARGET HR
00:00:01,19.0,0.0,71,0,53,0,129,0
00:00:02,26.6,0.0,99,0,74,0,129,0
00:00:03,29.8,0.0,111,0,83,0,129,0
00:00:04,30.9,0.0,115,0,86,0,129,0
00:00:05,31.6,0.0,117,0,88,0,128,0
00:00:06,32.0,0.0,119,0,89,0,129,0
00:00:07,31.6,0.0,117,0,88,0,128,0
00:00:08,31.6,0.0,117,0,88,0,128,0
00:00:09,31.6,0.0,117,0,88,1,128,0
00:00:10,31.3,0.0,116,0,87,1,129,0
00:00:11,32.4,0.0,120,0,90,1,129,0
00:00:12,32.4,0.0,120,0,90,1,129,0
00:00:13,32.4,0.1,120,0,90,1,129,0
00:00:14,32.0,0.1,119,0,89,1,129,0
00:00:15,32.4,0.1,120,0,90,1,129,0
00:00:16,32.4,0.1,120,0,90,2,129,0
00:00:17,32.0,0.1,119,0,89,2,129,0
00:00:18,32.7,0.1,121,0,91,2,128,0
00:00:19,32.7,0.1,121,0,91,2,128,0
00:00:20,33.1,0.1,123,0,92,2,129,0
00:00:21,32.4,0.1,120,0,90,2,129,0
00:00:22,32.7,0.1,121,0,91,2,128,0
00:00:23,32.7,0.1,121,0,91,3,128,0
00:00:24,32.7,0.2,121,0,91,3,128,0
00:00:25,32.7,0.2,121,0,91,3,128,0
00:00:26,33.1,0.2,123,0,92,3,129,0
00:00:27,32.7,0.2,121,0,91,3,128,0
00:00:28,33.4,0.2,124,0,93,3,129,0
00:00:29,33.8,0.2,125,0,94,3,128,0
00:00:30,33.4,0.2,124,0,93,4,129,0
00:00:31,33.8,0.2,125,0,94,4,128,0
00:00:32,33.4,0.2,124,0,93,4,129,0
00:00:33,33.1,0.2,123,0,92,4,129,0
00:00:34,33.4,0.2,124,0,93,4,129,0
00:00:35,34.2,0.3,127,212,95,4,129,0
00:00:36,34.2,0.3,127,212,95,4,129,0
00:00:37,33.4,0.3,124,212,93,5,129,0
00:00:38,33.8,0.3,125,212,94,5,128,0
00:00:39,33.4,0.3,124,106,93,5,129,0
00:00:40,33.4,0.3,124,106,93,5,129,0
00:00:41,33.8,0.3,125,105,94,5,128,0
00:00:42,33.4,0.3,124,105,93,5,129,0
00:00:43,34.2,0.3,127,104,95,5,129,0
00:00:44,33.4,0.3,124,104,93,6,129,0
00:00:45,33.4,0.4,124,104,93,6,129,0
00:00:46,33.1,0.4,123,103,92,6,129,0
00:00:47,33.4,0.4,124,102,93,6,129,0
00:00:48,33.8,0.4,125,102,94,6,128,0
00:00:49,33.8,0.4,125,101,94,6,128,0
00:00:50,33.8,0.4,125,101,94,6,128,0
00:00:51,33.4,0.4,124,100,93,7,129,0
00:00:52,33.8,0.4,125,100,94,7,128,0
00:00:53,33.8,0.4,125,100,94,7,128,0
00:00:54,33.8,0.4,125,100,94,7,128,0
00:00:55,34.2,0.4,127,101,95,7,129,0
00:00:56,34.5,0.5,128,101,96,7,129,0
00:00:57,34.5,0.5,128,101,96,7,129,0
00:00:58,34.5,0.5,128,102,96,8,129,0
00:00:59,34.5,0.5,128,102,96,8,129,0
00:01:00,34.5,0.5,128,103,96,8,129,0
