LeMond,FW 0.25,HW 1.0,STN,111230,15:02,,,
TIME,SPEED,DIST,POWER,HEART RATE,RPM,CALORIES,TORQUE,TARGET HR
0:00:01,22.3,0,219,0,99,0,21,0
0:00:02,21.4,0,221,0,95,0,22,0
0:00:03,21.2,0,211,0,94,0,21,0
0:00:04,21.2,0,210,70,94,1,21,0
0:00:05,21.4,0,210,70,95,1,21,0
0:00:06,21.2,0,211,70,94,1,21,0
0:00:07,21.4,0,210,70,95,1,21,0
0:00:08,21.4,0,211,70,95,1,21,0
0:00:09,20.9,0.1,211,70,93,2,21,0
0:00:10,21.2,0.1,207,115,94,2,21,0
0:00:11,20.7,0.1,207,115,92,2,21,0
0:00:12,20.5,0.1,205,115,91,2,21,0
0:00:13,20.3,0.1,199,115,90,3,21,0
0:00:14,20.5,0.1,199,115,91,3,20,0
0:00:15,20.9,0.1,202,80,93,3,20,0
0:00:16,20.7,0.1,207,80,92,3,21,0
0:00:17,20.3,0.1,205,80,90,4,21,0
0:00:18,20.3,0.1,199,80,90,4,21,0
0:00:19,20.5,0.1,199,80,91,4,20,0
0:00:20,20.7,0.1,202,80,92,4,20,0
0:00:21,20.7,0.1,205,78,92,5,21,0
0:00:22,20.7,0.1,205,125,92,5,21,0
0:00:23,20.9,0.1,205,125,93,5,21,0
0:00:24,20.9,0.1,207,126,93,5,21,0
0:00:25,20.5,0.1,207,126,91,6,21,0
0:00:26,20.5,0.2,202,126,91,6,21,0
0:00:27,20.7,0.2,202,126,92,6,20,0
0:00:28,20.7,0.2,205,126,92,6,21,0
0:00:29,20.7,0.2,205,126,92,6,21,0
0:00:30,20.5,0.2,205,126,91,7,21,0
0:00:31,20.5,0.2,202,126,91,7,21,0
0:00:32,20.5,0.2,202,126,91,7,21,0
0:00:33,20.5,0.2,202,126,91,7,21,0
0:00:34,20.3,0.2,202,136,90,8,21,0
0:00:35,20.3,0.2,199,136,90,8,21,0
0:00:36,20.5,0.2,199,136,91,8,20,0
0:00:37,20.9,0.2,202,136,93,8,20,0
0:00:38,21.2,0.2,207,143,94,9,21,0
0:00:39,21.6,0.2,210,146,96,9,20,0
0:00:40,21.8,0.2,214,149,97,9,21,0
0:00:41,22,0.2,217,149,98,9,21,0
0:00:42,21.8,0.2,219,149,97,10,21,0
0:00:43,21.6,0.2,217,149,96,10,21,0
0:00:44,21.4,0.3,214,149,95,10,21,0
0:00:45,21.2,0.3,211,149,94,10,21,0
0:00:46,20.9,0.3,210,149,93,11,21,0
0:00:47,20.9,0.3,207,149,93,11,21,0
0:00:48,20.9,0.3,207,149,93,11,21,0
0:00:49,20.7,0.3,207,149,92,11,21,0
0:00:50,20.5,0.3,205,149,91,12,21,0
0:00:51,20.5,0.3,202,151,91,12,21,0
0:00:52,20.5,0.3,202,151,91,12,21,0
0:00:53,20.3,0.3,202,151,90,12,21,0
0:00:54,20,0.3,198,152,89,12,21,0
0:00:55,19.8,0.3,198,152,88,13,21,0
0:00:56,19.6,0.3,195,152,87,13,21,0
0:00:57,19.8,0.3,192,152,88,13,20,0
0:00:58,20.3,0.3,195,152,90,13,20,0
0:00:59,20.3,0.3,199,152,90,14,21,0
0:01:00,20.7,0.3,123,152,92,14,12,0
0:01:01,21.4,0.4,127,152,95,14,12,0
0:01:02,20.7,0.4,131,152,92,14,13,0
0:01:03,20.3,0.4,127,152,90,14,13,0
0:01:04,20.3,0.4,123,152,90,14,13,0
0:01:05,20.3,0.4,123,152,90,14,13,0
0:01:06,20,0.4,123,154,89,15,13,0
0:01:07,20.3,0.4,122,154,90,15,12,0
0:01:08,20.3,0.4,123,154,90,15,13,0
0:01:09,20.3,0.4,123,153,90,15,13,0
0:01:10,20.3,0.4,123,155,90,15,13,0
0:01:11,20.3,0.4,123,155,90,15,13,0
0:01:12,20,0.4,123,155,89,15,13,0
0:01:13,20,0.4,122,156,89,16,13,0
0:01:14,19.8,0.4,122,156,88,16,13,0
0:01:15,20,0.4,121,156,89,16,12,0
0:01:16,20,0.4,122,156,89,16,13,0
0:01:17,19.8,0.4,122,156,88,16,13,0
0:01:18,19.8,0.4,121,156,88,16,13,0
0:01:19,20,0.5,121,156,89,16,12,0
0:01:20,20,0.5,122,156,89,17,13,0
0:01:21,19.8,0.5,122,156,88,17,13,0
0:01:22,20,0.5,121,156,89,17,12,0
0:01:23,20,0.5,122,156,89,17,13,0
0:01:24,20.5,0.5,122,156,91,17,12,0
0:01:25,20.5,0.5,125,156,91,17,13,0
0:01:26,19.8,0.5,125,156,88,17,13,0
0:01:27,20,0.5,121,156,89,18,12,0
0:01:28,20.3,0.5,122,156,90,18,12,0
0:01:29,20,0.5,123,156,89,18,13,0
0:01:30,19.8,0.5,122,156,88,18,13,0
0:01:31,19.8,0.5,121,156,88,18,13,0
0:01:32,19.8,0.5,121,156,88,18,13,0
0:01:33,19.8,0.5,121,156,88,18,13,0
0:01:34,19.8,0.5,121,156,88,19,13,0
0:01:35,19.8,0.5,121,156,88,19,13,0
0:01:36,20,0.5,121,156,89,19,12,0
0:01:37,20,0.6,122,156,89,19,13,0
0:01:38,20.3,0.6,122,156,90,19,12,0
0:01:39,20.5,0.6,123,154,91,19,12,0
0:01:40,20.5,0.6,125,154,91,19,13,0
0:01:41,20.5,0.6,125,153,91,20,13,0
0:01:42,20.5,0.6,125,153,91,20,13,0
0:01:43,20.5,0.6,125,153,91,20,13,0
0:01:44,20.5,0.6,125,153,91,20,13,0
0:01:45,20.3,0.6,125,153,90,20,13,0
0:01:46,20.3,0.6,123,155,90,20,13,0
